Date,Close,High,Low,Open,Volume
2021-04-10,195714.237531133,201308.57261719555,189011.16025315225,189773.8777043447,24986243611.0
2021-04-11,197703.94690138847,198394.3186057806,194241.17164336145,195733.92344862968,19692836132.0
2021-04-12,196026.7962121144,201558.0245103836,193370.98697892576,197676.90113519132,21727936609.0
2021-04-13,210672.26875593513,212434.80711235106,195954.07016918063,196027.80287835002,29456642939.0
2021-04-14,223126.22890479863,224462.41055488586,209332.2841445133,210686.94371261448,35592822986.0
2021-04-15,230824.09375682473,233128.66595522314,220818.92752238363,223211.41523869336,32325606817.0
2021-04-16,222836.82354723662,233429.97234472632,212457.87095432729,230593.7014110312,36196928256.0
2021-04-17,214860.3805922717,228832.907942757,213833.02177291363,222656.71977250278,32349808978.0
2021-04-18,204986.61785712093,216744.7703039199,184336.1798845455,215003.08112376183,50696368718.0
2021-04-19,198485.70152961463,208618.78148706257,191201.19620429724,205068.69471086562,34060654971.0
2021-04-20,213514.8928720951,214946.50648131967,188768.9116161391,198096.34540003538,39433483315.0
2021-04-21,216679.82914654166,226067.12601591647,205099.31973478943,213601.86883485317,38899067643.0
2021-04-22,220233.51755082607,242000.88526736945,212209.11254232377,216049.36526834965,53575904724.0
2021-04-23,216573.03304412216,223532.34043461084,193982.21234683692,220024.7126031965,55413933925.0
2021-04-24,202649.0493765548,216953.73184407502,198257.03170160204,216904.09201347828,31854226936.0
2021-04-25,212218.21727916598,215702.60230571777,199065.3846888095,202904.5188967958,31814355546.0
2021-04-26,232232.0171539709,232402.05426634848,211508.607064493,212531.44707097113,35208325408.0
2021-04-27,243995.67270952463,245235.192030631,227732.42041397095,232190.74383831024,32275969215.0
2021-04-28,251648.05861806124,252664.8809974864,234944.22206671536,244162.46611958742,34269031076.0
2021-04-29,252609.87228029966,256375.40800128132,244842.45797657222,251856.01349198073,32578127990.0
2021-04-30,254106.18097293377,256199.71118762344,249979.4757769704,252688.41461703926,29777179889.0
2021-05-01,269929.2069384679,270437.5733874589,252521.12905903906,254072.40172813833,28726205272.0
2021-05-02,270493.94669665396,273502.6483713314,262107.1418433264,269898.71613670886,28032013047.0
2021-05-03,314386.9881985411,316123.5098253563,270413.27917563915,270413.27917563915,49174290212.0
2021-05-04,298126.8006424159,322862.64812493324,291448.2636502236,314391.14908564836,62402045158.0
2021-05-05,322789.0943786502,324500.67305318266,294413.2760102749,296928.7783405781,48334198383.0
2021-05-06,319865.8698525578,329763.23331834376,310277.7766247168,322985.8864425346,44300394788.0
2021-05-07,319302.2262420505,327416.98513779044,308813.7259923443,319794.8439570442,39607240515.0
2021-05-08,357595.69799344987,361949.66368469596,316465.351308614,319051.0742014423,50208491286.0
2021-05-09,359996.10481747985,364798.7752054855,343057.9611072019,358403.44698091596,50568290278.0
