Date,Close,High,Low,Open,Volume
2021-04-19,5105958.612512112,5270504.964574099,4981739.757256508,5148778.704399347,65344865159.0
2021-04-20,5174567.25632,5228547.47379899,4897390.969669819,5102066.885585904,67849323955.0
2021-04-21,4939360.987846971,5200676.151807189,4920061.988110542,5174392.946468711,54926612466.0
2021-04-22,4742925.239069223,5077183.885870099,4634944.044416428,4934872.598657727,74798630778.0
2021-04-23,4681660.158339143,4775776.024410367,4372046.848541021,4740866.807950616,86668667320.0
2021-04-24,4586110.7995483875,4688432.471883774,4471979.366343856,4686202.594320059,49014494781.0
2021-04-25,4490210.673500419,4627815.952653766,4321176.290174961,4586290.836212039,46117114240.0
2021-04-26,4949959.169975638,4974355.390640616,4476332.817516804,4496948.984096646,58284039825.0
2021-04-27,5042629.373851061,5077800.949902177,4885583.714281082,4950742.669492006,49448222757.0
2021-04-28,5023532.602176189,5152042.629520297,4937695.917152524,5042951.864972234,48000572955.0
2021-04-29,4907200.999247074,5050209.525864601,4803011.312304139,5026591.793755174,46088929780.0
2021-04-30,5291590.72976768,5305384.831120491,4868212.144830465,4908443.001678228,52395931985.0
2021-05-01,5298726.337971568,5355562.803116441,5227642.637445688,5288336.826568365,42836427360.0
2021-05-02,5189048.933082104,5305556.635491371,5144226.604422569,5298525.899538875,38177405335.0
2021-05-03,5241205.518749356,5403665.163556695,5185364.803104043,5188058.910394907,51713139031.0
2021-05-04,4886898.73356986,5242477.944871187,4873877.036034465,5242477.944871187,68564706967.0
2021-05-05,5261704.285675764,5306360.178851008,4853501.395573854,4879442.423873663,69241316747.0
2021-05-06,5167556.206285,5347772.190748572,5074643.686661482,5263289.538922906,69523285106.0
2021-05-07,5255509.6643282175,5370067.029202223,5069085.457337737,5169153.986934185,68434023376.0
2021-05-08,5388131.18502295,5448682.919688106,5220581.477802515,5255176.435433865,65382980634.0
2021-05-09,5335768.792036414,5425433.851124525,5175389.411819816,5394876.2962088585,65906690347.0
2021-05-10,5118377.2051205635,5453698.89146626,4954513.417507052,5337468.939456582,71776546298.0
2021-05-11,5195783.306494832,5211174.11471951,5003736.085615754,5117226.831687212,61308396325.0
2021-05-12,4503614.27783525,5308925.790789485,4503614.27783525,5196695.65928936,75215403907.0
2021-05-13,4555444.793123603,4703393.7691812515,4304732.106401324,4557207.93547976,96721152926.0
2021-05-14,4570503.446231246,4713223.126750231,4477778.837638378,4552401.708204389,55737497453.0
2021-05-15,4284589.117692947,4640061.667114019,4275788.438794613,4568209.142028451,59161047474.0
2021-05-16,4256722.090810418,4555797.707935452,4028317.8437211514,4280598.603253484,64047871555.0
2021-05-17,3989298.565613866,4272069.947942376,3867411.596767187,4253042.255941629,74903638450.0
2021-05-18,3931745.533072114,4197749.524654269,3882121.9880980253,3984767.2253319025,56187365084.0
