Price,Close,High,Low,Open,Volume
Ticker,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD,ZEC-USD
Date,,,,,
2021-06-09,144.7958221435547,145.0494384765625,124.68604278564453,131.06016540527344,536794210
2021-06-10,134.0266876220703,151.1513214111328,132.60157775878906,145.0667266845703,451644921
2021-06-11,124.71796417236328,135.75515747070312,122.76116180419922,134.08663940429688,339651009
2021-06-12,125.8919448852539,129.1221466064453,119.25950622558594,124.77093505859375,311596996
2021-06-13,133.01730346679688,133.01730346679688,121.09490966796875,125.93602752685547,322549392
2021-06-14,133.31639099121094,139.28378295898438,128.83731079101562,132.94847106933594,329230725
2021-06-15,138.3604278564453,141.08717346191406,133.91168212890625,138.2722625732422,350043424
2021-06-16,136.76602172851562,143.56434631347656,132.53919982910156,136.7019805908203,446759107
2021-06-17,142.2675018310547,146.41639709472656,136.8190460205078,136.9214630126953,342936949
2021-06-18,132.4610595703125,142.46267700195312,129.49075317382812,142.30953979492188,335005839
2021-06-19,128.64981079101562,134.98619079589844,127.42354583740234,132.7281951904297,270352098
2021-06-20,132.04881286621094,132.3584747314453,119.8136215209961,128.2910919189453,304991853
2021-06-21,101.5177230834961,132.77767944335938,100.97962188720703,131.9056854248047,462910183
2021-06-22,106.27161407470703,110.38917541503906,86.47914123535156,101.27780151367188,592081637
2021-06-23,111.2509765625,117.54711151123047,102.97836303710938,106.34351348876953,451469421
2021-06-24,112.63333892822266,116.58441162109375,107.17147827148438,111.75147247314453,284433372
2021-06-25,100.79795837402344,116.30868530273438,99.92343139648438,112.77088165283203,343559442
2021-06-26,103.37300109863281,103.39386749267578,96.66671752929688,100.30296325683594,292928944
2021-06-27,107.14413452148438,107.14413452148438,98.88360595703125,103.5710678100586,266185415
2021-06-28,117.42235565185547,117.63224792480469,104.66976165771484,107.51670837402344,308678894
2021-06-29,125.66210174560547,129.2842559814453,116.18663787841797,117.89369201660156,389541934
2021-06-30,130.82247924804688,132.8226776123047,122.19224548339844,126.21263885498047,467345939
2021-07-01,120.7403793334961,130.8295440673828,118.93193817138672,130.8295440673828,320523740
2021-07-02,118.76113891601562,121.58589172363281,112.6357650756836,120.38762664794922,273974034
2021-07-03,116.26840209960938,118.90719604492188,113.24095153808594,118.56979370117188,233739589
2021-07-04,120.15862274169922,125.4595718383789,113.28239440917969,116.20284271240234,303827435
2021-07-05,111.4909896850586,120.32926177978516,110.7039794921875,120.32926177978516,259127886
2021-07-06,117.46280670166016,118.42179870605469,111.0699462890625,111.32181549072266,290080828
2021-07-07,118.13483428955078,122.1377182006836,115.54500579833984,117.55072021484375,285356272
2021-07-08,109.42977142333984,118.6124038696289,107.33444213867188,118.5116958618164,278782121
2021-07-09,110.93242645263672,112.87311553955078,105.29927825927734,109.1278305053711,244468462
2021-07-10,108.15251159667969,112.92420959472656,106.60401153564453,110.9788589477539,201335108
2021-07-11,110.69766998291016,112.53518676757812,106.209228515625,108.1209487915039,190071164
2021-07-12,108.09779357910156,112.84988403320312,104.98680877685547,110.79861450195312,220770579
2021-07-13,104.00292205810547,108.60570526123047,102.0257797241211,108.00948333740234,200288636
2021-07-14,104.44970703125,105.81999969482422,97.630126953125,104.11082458496094,226195859
2021-07-15,99.78035736083984,106.06330108642578,97.997314453125,104.54619598388672,218460083
2021-07-16,93.33297729492188,102.40208435058594,92.74128723144531,100.0053482055664,227891407
2021-07-17,93.1205825805664,95.78874969482422,92.02497100830078,93.12779235839844,190628948
2021-07-18,94.1238784790039,99.20463562011719,92.56314849853516,93.18519592285156,200618131
2021-07-19,89.08631134033203,97.59810638427734,89.08631134033203,93.98905181884766,312590684
2021-07-20,85.77085876464844,91.72599792480469,83.26602172851562,89.24715423583984,253801305
2021-07-21,95.05802154541016,95.5169906616211,84.38007354736328,85.7066650390625,259186931
2021-07-22,97.43721008300781,97.82391357421875,91.70797729492188,95.17833709716797,211134082
2021-07-23,97.71027374267578,98.95968627929688,92.22400665283203,97.49762725830078,213685087
2021-07-24,99.38928985595703,102.63195037841797,97.1228256225586,97.68182373046875,219442233
2021-07-25,100.4580078125,100.4580078125,95.90738677978516,99.29412078857422,202118641
2021-07-26,101.61878204345703,109.62171173095703,100.16381072998047,100.4267807006836,358596248
2021-07-27,102.87733459472656,103.59355926513672,98.19482421875,101.50928497314453,236588328
2021-07-28,105.54716491699219,105.7094497680664,101.59101104736328,103.00598907470703,233878657
2021-07-29,107.74437713623047,108.78809356689453,104.4425048828125,105.78825378417969,194174558
2021-07-30,109.90162658691406,109.91436767578125,103.00517272949219,107.85437774658203,225865049
2021-07-31,111.65145874023438,112.46207427978516,108.95703887939453,109.93358612060547,202069668
2021-08-01,115.7019271850586,123.06354522705078,110.5154037475586,111.20556640625,315932484
2021-08-02,115.45378875732422,119.94605255126953,113.44499206542969,115.63481140136719,229066830
2021-08-03,113.73912048339844,116.72830963134766,109.45027160644531,115.34996795654297,214393604
2021-08-04,118.00201416015625,120.5009994506836,112.72967529296875,114.04667663574219,217427507
2021-08-05,119.130859375,120.73774719238281,114.2874984741211,118.0689926147461,232316775
2021-08-06,126.78365325927734,128.6029815673828,117.54305267333984,119.1952896118164,259200761
2021-08-07,134.0394744873047,134.63377380371094,125.51445007324219,126.87267303466797,334916214
